city,datetime,temperature,feels_like,humidity,wind_speed,description
Warsaw,2025-07-04 12:51:23,24.81,24.21,33,6.69,clear sky
Warsaw,2025-07-04 12:51:23,24.81,24.21,33,6.69,clear sky
Warsaw,2025-07-04 18:28:31,24.81,24.21,33,6.69,clear sky
Warsaw,2025-07-04 18:40:13,22.58,21.78,34,5.66,clear sky
Warsaw,2025-07-04 20:29:28,18.02,17.05,45,1.54,clear sky
Warsaw,2025-07-04 20:38:29,17.78,16.87,48,2.57,clear sky
Warsaw,2025-07-04 20:46:13,17.78,16.87,48,2.57,clear sky
Warsaw,2025-07-04 20:58:07,17.07,16.11,49,2.57,clear sky
Warsaw,2025-07-04 23:25:32,16.99,16.05,50,2.57,clear sky
Warsaw,2025-07-04 23:41:22,15.51,14.5,53,2.06,clear sky
Warsaw,2025-07-04 23:53:20,16.01,15.05,53,2.06,clear sky
Warsaw,2025-07-05 00:17:56,15.52,14.56,55,2.57,clear sky
Warsaw,2025-07-05 00:40:10,15.66,14.72,55,2.06,clear sky
Warsaw,2025-07-05 00:52:44,15.43,14.46,55,2.06,clear sky
Warsaw,2025-07-05 01:16:34,14.98,14.05,58,2.06,clear sky
Warsaw,2025-07-05 01:34:18,14.89,13.95,58,2.06,clear sky
Warsaw,2025-07-05 01:47:33,14.85,13.98,61,1.54,clear sky
Warsaw,2025-07-05 01:59:49,14.27,13.35,61,1.54,clear sky
Warsaw,2025-07-05 04:08:25,13.35,12.62,72,1,clear sky
Warsaw,2025-07-05 05:20:09,13.77,13,69,1.29,clear sky
Warsaw,2025-07-05 05:56:16,15.27,14.5,63,1.23,few clouds
Warsaw,2025-07-05 06:32:55,15.58,14.76,60,0.45,few clouds
Warsaw,2025-07-05 06:52:37,15.49,14.71,62,1.34,clear sky
Warsaw,2025-07-05 07:16:47,16.06,15.29,60,2.57,clear sky
Warsaw,2025-07-05 07:39:02,17.46,16.72,56,3.09,clear sky
Warsaw,2025-07-05 07:51:10,18.09,17.34,53,3.09,clear sky
Warsaw,2025-07-05 08:18:58,18.93,18.18,50,2.57,clear sky
Warsaw,2025-07-05 08:45:33,20.43,19.73,46,2.57,clear sky
